Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet
1961-01-01 00:00;1961-02-01 00:00;jan-61;-0.5;Y
1961-02-01 00:00;1961-03-01 00:00;feb-61;2.7;Y
1961-03-01 00:00;1961-04-01 00:00;mar-61;5.1;Y
1961-04-01 00:00;1961-05-01 00:00;apr-61;8.1;Y
1961-05-01 00:00;1961-06-01 00:00;maj-61;11.2;Y
1961-06-01 00:00;1961-07-01 00:00;jun-61;15.8;Y
1961-07-01 00:00;1961-08-01 00:00;jul-61;15.6;Y
1961-08-01 00:00;1961-09-01 00:00;aug-61;14.9;Y
1961-09-01 00:00;1961-10-01 00:00;sep-61;14.4;Y
1961-10-01 00:00;1961-11-01 00:00;okt-61;12.2;Y
1961-11-01 00:00;1961-12-01 00:00;nov-61;5.4;Y
1961-12-01 00:00;1962-01-01 00:00;dec-61;-0.0;Y
1962-01-01 00:00;1962-02-01 00:00;jan-62;1.4;Y
1962-02-01 00:00;1962-03-01 00:00;feb-62;1.1;Y
1962-03-01 00:00;1962-04-01 00:00;mar-62;-1.1;Y
1962-04-01 00:00;1962-05-01 00:00;apr-62;6.6;Y
1962-05-01 00:00;1962-06-01 00:00;maj-62;9.2;Y
1962-06-01 00:00;1962-07-01 00:00;jun-62;13.8;Y
1962-07-01 00:00;1962-08-01 00:00;jul-62;15.1;Y
1962-08-01 00:00;1962-09-01 00:00;aug-62;14.1;Y
1962-09-01 00:00;1962-10-01 00:00;sep-62;11.9;Y
1962-10-01 00:00;1962-11-01 00:00;okt-62;10.3;Y
1962-11-01 00:00;1962-12-01 00:00;nov-62;3.6;Y
1962-12-01 00:00;1963-01-01 00:00;dec-62;-0.9;Y
1963-01-01 00:00;1963-02-01 00:00;jan-63;-6.6;Y
1963-02-01 00:00;1963-03-01 00:00;feb-63;-5.0;Y
1963-03-01 00:00;1963-04-01 00:00;mar-63;-0.6;Y
1963-04-01 00:00;1963-05-01 00:00;apr-63;5.7;Y
1963-05-01 00:00;1963-06-01 00:00;maj-63;12.3;Y
1963-06-01 00:00;1963-07-01 00:00;jun-63;16.2;Y
1963-07-01 00:00;1963-08-01 00:00;jul-63;16.3;Y
1963-08-01 00:00;1963-09-01 00:00;aug-63;16.2;Y
1963-09-01 00:00;1963-10-01 00:00;sep-63;13.6;Y
1963-10-01 00:00;1963-11-01 00:00;okt-63;9.7;Y
1963-11-01 00:00;1963-12-01 00:00;nov-63;6.0;Y
1963-12-01 00:00;1964-01-01 00:00;dec-63;-0.5;Y
1964-01-01 00:00;1964-02-01 00:00;jan-64;1.1;Y
1964-02-01 00:00;1964-03-01 00:00;feb-64;-0.6;Y
