Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet
1965-05-01 00:00;1965-06-01 00:00;maj-65;8.6;Y
1965-06-01 00:00;1965-07-01 00:00;jun-65;15.3;Y
1965-07-01 00:00;1965-08-01 00:00;jul-65;15.0;Y
1965-08-01 00:00;1965-09-01 00:00;aug-65;14.7;Y
1965-09-01 00:00;1965-10-01 00:00;sep-65;13.0;Y
1965-10-01 00:00;1965-11-01 00:00;okt-65;8.1;Y
1965-11-01 00:00;1965-12-01 00:00;nov-65;-1.2;Y
1965-12-01 00:00;1966-01-01 00:00;dec-65;-3.4;Y
1966-01-01 00:00;1966-02-01 00:00;jan-66;-6.5;Y
1966-02-01 00:00;1966-03-01 00:00;feb-66;-10.0;Y
1966-03-01 00:00;1966-04-01 00:00;mar-66;-0.4;Y
1966-04-01 00:00;1966-05-01 00:00;apr-66;1.6;Y
1966-05-01 00:00;1966-06-01 00:00;maj-66;10.6;Y
1966-06-01 00:00;1966-07-01 00:00;jun-66;18.0;Y
1966-07-01 00:00;1966-08-01 00:00;jul-66;18.5;Y
1966-08-01 00:00;1966-09-01 00:00;aug-66;15.5;Y
1966-09-01 00:00;1966-10-01 00:00;sep-66;11.3;Y
1966-10-01 00:00;1966-11-01 00:00;okt-66;6.9;Y
1966-11-01 00:00;1966-12-01 00:00;nov-66;3.0;Y
1966-12-01 00:00;1967-01-01 00:00;dec-66;0.2;Y
1967-01-01 00:00;1967-02-01 00:00;jan-67;-4.6;Y
1967-02-01 00:00;1967-03-01 00:00;feb-67;-0.7;Y
1967-03-01 00:00;1967-04-01 00:00;mar-67;3.5;Y
1967-04-01 00:00;1967-05-01 00:00;apr-67;5.1;Y
1967-05-01 00:00;1967-06-01 00:00;maj-67;9.3;Y
1967-06-01 00:00;1967-07-01 00:00;jun-67;15.0;Y
1967-07-01 00:00;1967-08-01 00:00;jul-67;18.3;Y
1967-08-01 00:00;1967-09-01 00:00;aug-67;16.4;Y
1967-09-01 00:00;1967-10-01 00:00;sep-67;13.1;Y
1967-10-01 00:00;1967-11-01 00:00;okt-67;9.1;Y
1967-11-01 00:00;1967-12-01 00:00;nov-67;4.7;Y
1967-12-01 00:00;1968-01-01 00:00;dec-67;-4.0;Y
1968-01-01 00:00;1968-02-01 00:00;jan-68;-6.2;Y
1968-02-01 00:00;1968-03-01 00:00;feb-68;-3.2;Y
1968-03-01 00:00;1968-04-01 00:00;mar-68;1.7;Y
1968-04-01 00:00;1968-05-01 00:00;apr-68;7.3;Y
1968-05-01 00:00;1968-06-01 00:00;maj-68;8.6;Y
1968-06-01 00:00;1968-07-01 00:00;jun-68;17.7;Y
1968-07-01 00:00;1968-08-01 00:00;jul-68;16.6;Y
1968-08-01 00:00;1968-09-01 00:00;aug-68;17.6;Y
1968-09-01 00:00;1968-10-01 00:00;sep-68;12.8;Y
1968-10-01 00:00;1968-11-01 00:00;okt-68;5.9;Y
1968-11-01 00:00;1968-12-01 00:00;nov-68;1.0;Y
1968-12-01 00:00;1969-01-01 00:00;dec-68;-0.9;Y
1969-01-01 00:00;1969-02-01 00:00;jan-69;-2.2;Y
1969-02-01 00:00;1969-03-01 00:00;feb-69;-5.2;Y
1969-03-01 00:00;1969-04-01 00:00;mar-69;-3.1;Y
1969-04-01 00:00;1969-05-01 00:00;apr-69;4.8;Y
1969-05-01 00:00;1969-06-01 00:00;maj-69;9.4;Y
1969-06-01 00:00;1969-07-01 00:00;jun-69;17.2;Y
1969-07-01 00:00;1969-08-01 00:00;jul-69;18.9;Y
