Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet
1946-01-01 00:00;1946-02-01 00:00;jan-46;-6.8;Y
1946-02-01 00:00;1946-03-01 00:00;feb-46;-13.1;Y
1946-03-01 00:00;1946-04-01 00:00;mar-46;-7.6;Y
1946-04-01 00:00;1946-05-01 00:00;apr-46;0.4;Y
1946-05-01 00:00;1946-06-01 00:00;maj-46;6.2;Y
1946-06-01 00:00;1946-07-01 00:00;jun-46;11.9;Y
1946-07-01 00:00;1946-08-01 00:00;jul-46;16.8;Y
1946-08-01 00:00;1946-09-01 00:00;aug-46;14.5;Y
1946-09-01 00:00;1946-10-01 00:00;sep-46;10.8;Y
1946-10-01 00:00;1946-11-01 00:00;okt-46;2.5;Y
1946-11-01 00:00;1946-12-01 00:00;nov-46;-3.2;Y
1946-12-01 00:00;1947-01-01 00:00;dec-46;-2.1;Y
1947-01-01 00:00;1947-02-01 00:00;jan-47;-8.2;Y
1947-02-01 00:00;1947-03-01 00:00;feb-47;-18.4;Y
1947-03-01 00:00;1947-04-01 00:00;mar-47;-13.2;Y
1947-04-01 00:00;1947-05-01 00:00;apr-47;-0.4;Y
1947-05-01 00:00;1947-06-01 00:00;maj-47;7.4;Y
1947-06-01 00:00;1947-07-01 00:00;jun-47;13.3;Y
1947-07-01 00:00;1947-08-01 00:00;jul-47;17.5;Y
1947-08-01 00:00;1947-09-01 00:00;aug-47;14.4;Y
1947-09-01 00:00;1947-10-01 00:00;sep-47;10.7;Y
1947-10-01 00:00;1947-11-01 00:00;okt-47;1.9;Y
1947-11-01 00:00;1947-12-01 00:00;nov-47;-5.1;Y
1947-12-01 00:00;1948-01-01 00:00;dec-47;-8.8;Y
1948-01-01 00:00;1948-02-01 00:00;jan-48;-14.1;Y
1948-02-01 00:00;1948-03-01 00:00;feb-48;-9.6;Y
1948-03-01 00:00;1948-04-01 00:00;mar-48;-2.3;Y
1948-04-01 00:00;1948-05-01 00:00;apr-48;2.0;Y
1948-05-01 00:00;1948-06-01 00:00;maj-48;7.4;Y
1948-06-01 00:00;1948-07-01 00:00;jun-48;11.7;Y
1948-07-01 00:00;1948-08-01 00:00;jul-48;16.5;Y
1948-08-01 00:00;1948-09-01 00:00;aug-48;11.3;Y
1948-09-01 00:00;1948-10-01 00:00;sep-48;8.8;Y
1948-10-01 00:00;1948-11-01 00:00;okt-48;1.5;Y
1948-11-01 00:00;1948-12-01 00:00;nov-48;-2.6;Y
1948-12-01 00:00;1949-01-01 00:00;dec-48;-3.1;Y
1949-01-01 00:00;1949-02-01 00:00;jan-49;-4.9;Y
1949-02-01 00:00;1949-03-01 00:00;feb-49;-4.3;Y
1949-03-01 00:00;1949-04-01 00:00;mar-49;-5.9;Y
1949-04-01 00:00;1949-05-01 00:00;apr-49;0.2;Y
1949-05-01 00:00;1949-06-01 00:00;maj-49;6.7;Y
1949-06-01 00:00;1949-07-01 00:00;jun-49;11.0;Y
1949-07-01 00:00;1949-08-01 00:00;jul-49;14.3;Y
1949-08-01 00:00;1949-09-01 00:00;aug-49;12.7;Y
1949-09-01 00:00;1949-10-01 00:00;sep-49;10.9;Y
1949-10-01 00:00;1949-11-01 00:00;okt-49;2.6;Y
1949-11-01 00:00;1949-12-01 00:00;nov-49;0.9;Y
1949-12-01 00:00;1950-01-01 00:00;dec-49;-4.4;Y
1950-01-01 00:00;1950-02-01 00:00;jan-50;-14.6;Y
1950-02-01 00:00;1950-03-01 00:00;feb-50;-10.1;Y
1950-03-01 00:00;1950-04-01 00:00;mar-50;-4.7;Y
1950-04-01 00:00;1950-05-01 00:00;apr-50;1.4;Y
1950-05-01 00:00;1950-06-01 00:00;maj-50;7.1;Y
